axis,target,n,spearman,pearson
pca_1,Temperature,168600,0.1625809071363655,0.04560090800958456
pca_1,Elevation,49000,-0.0857817096606431,0.006275396111761115
pca_1,Depth_m,167400,-0.729578567798256,-0.2016674642031003
pca_1,Latitude,168600,-0.015612898821480753,0.06375269474419612
pca_1,Longitude,168600,0.27683201127155194,0.3412734871082986
pca_1,variance_mean,172500,-0.8552489100073554,-0.9626161786261712
pca_1,variance_max,172500,-0.8823694366557098,-0.9541459100675806
pca_1,read_spread_l2,172500,-0.8552489100073554,-0.961129081840888
pca_1,sem_l2_estimate,172500,-0.8552489100073554,-0.9611290818408889
pca_1,mean_norm,172500,0.8587647423415437,0.91133559161521
pca_2,Temperature,168600,0.30753822454727203,0.10163807248381179
pca_2,Elevation,49000,-0.045940673702324776,0.05667850110023972
pca_2,Depth_m,167400,-0.21207860208362683,-0.018049311872418143
pca_2,Latitude,168600,-0.051388029960507065,0.024922871489891647
pca_2,Longitude,168600,0.1651938436507134,0.16639590579109664
pca_2,variance_mean,172500,-0.40767087933549384,-0.1509665126629506
pca_2,variance_max,172500,-0.24783061225254674,-0.0659149774767511
pca_2,read_spread_l2,172500,-0.40767087933549384,-0.1554819548845795
pca_2,sem_l2_estimate,172500,-0.40767087933549384,-0.15548195488457936
pca_2,mean_norm,172500,0.28460229556460576,0.0143827433131021
