epoch,step,train_mse,val_mse,val_mse_Temperature
0,49,216.8682861328125,,
0,99,66.1048583984375,,
0,149,46.06546401977539,,
0,199,41.615604400634766,,
0,249,40.46171188354492,,
0,299,38.76324462890625,,
0,349,37.65055465698242,,
0,399,31.71588134765625,,
0,449,46.58912658691406,,
0,499,37.27989196777344,,
0,526,,35.83391571044922,35.83391571044922
1,549,35.617469787597656,,
1,599,40.473262786865234,,
1,649,39.77041244506836,,
1,699,35.80831527709961,,
1,749,31.37955093383789,,
1,799,33.438194274902344,,
1,849,33.818931579589844,,
1,899,35.891510009765625,,
1,949,27.470338821411133,,
1,999,36.218387603759766,,
1,1049,29.757770538330078,,
1,1053,,28.680946350097656,28.680946350097656
2,1099,32.887229919433594,,
2,1149,33.79704666137695,,
2,1199,30.543264389038086,,
2,1249,28.140689849853516,,
2,1299,27.998626708984375,,
2,1349,27.643287658691406,,
2,1399,33.511199951171875,,
2,1449,31.930408477783203,,
2,1499,30.964309692382812,,
2,1549,25.634096145629883,,
2,1580,,27.439733505249023,27.439733505249023
3,1599,31.444011688232422,,
3,1649,28.47284698486328,,
3,1699,24.966737747192383,,
3,1749,30.62004852294922,,
3,1799,26.289119720458984,,
3,1849,32.062984466552734,,
3,1899,32.725032806396484,,
3,1949,26.85259437561035,,
3,1999,28.80607795715332,,
3,2049,30.48422622680664,,
3,2099,22.49237060546875,,
3,2107,,26.64701271057129,26.64701271057129
4,2149,26.76889991760254,,
4,2199,24.53578758239746,,
4,2249,25.817811965942383,,
4,2299,28.816370010375977,,
4,2349,28.487285614013672,,
4,2399,28.49079132080078,,
4,2449,27.63780975341797,,
4,2499,30.31678009033203,,
4,2549,27.359275817871094,,
4,2599,26.216522216796875,,
4,2634,,25.265073776245117,25.265073776245117
5,2649,24.837188720703125,,
5,2699,22.650394439697266,,
5,2749,24.765060424804688,,
5,2799,21.990095138549805,,
5,2849,24.472984313964844,,
5,2899,23.47611427307129,,
5,2949,21.8404541015625,,
5,2999,24.07421875,,
5,3049,24.59253692626953,,
5,3099,26.914958953857422,,
5,3149,23.057235717773438,,
5,3161,,24.75324249267578,24.75324249267578
6,3199,21.8031005859375,,
6,3249,24.267215728759766,,
6,3299,27.84870719909668,,
6,3349,23.93871307373047,,
6,3399,23.62630844116211,,
6,3449,27.74742889404297,,
6,3499,23.3065128326416,,
6,3549,22.603160858154297,,
6,3599,27.62683868408203,,
6,3649,26.498111724853516,,
6,3688,,24.53990936279297,24.53990936279297
7,3699,23.342975616455078,,
7,3749,21.612831115722656,,
7,3799,25.145267486572266,,
7,3849,22.49115753173828,,
7,3899,24.86033058166504,,
7,3949,22.658519744873047,,
7,3999,24.784526824951172,,
7,4049,18.70761489868164,,
7,4099,26.63913345336914,,
7,4149,23.226573944091797,,
7,4199,26.85103988647461,,
7,4215,,23.438556671142578,23.438556671142578
8,4249,22.857147216796875,,
8,4299,21.787208557128906,,
8,4349,20.035301208496094,,
8,4399,23.801910400390625,,
8,4449,21.685161590576172,,
8,4499,23.16659927368164,,
8,4549,22.76593017578125,,
8,4599,23.91584587097168,,
8,4649,25.29004669189453,,
8,4699,21.99896240234375,,
8,4742,,23.25118064880371,23.25118064880371
9,4749,23.224681854248047,,
9,4799,21.620189666748047,,
9,4849,26.302181243896484,,
9,4899,20.65442657470703,,
9,4949,19.765708923339844,,
9,4999,24.162601470947266,,
9,5049,23.865583419799805,,
9,5099,22.743444442749023,,
9,5149,21.173791885375977,,
9,5199,23.278026580810547,,
9,5249,24.137666702270508,,
9,5269,,22.507654190063477,22.507654190063477
10,5299,25.46310806274414,,
10,5349,19.082611083984375,,
10,5399,23.29528045654297,,
10,5449,23.514328002929688,,
10,5499,23.425100326538086,,
10,5549,24.016597747802734,,
10,5599,24.43187713623047,,
10,5649,20.27021026611328,,
10,5699,26.828197479248047,,
10,5749,22.31768035888672,,
10,5796,,23.107519149780273,23.107519149780273
11,5799,21.445972442626953,,
11,5849,19.888938903808594,,
11,5899,23.314083099365234,,
11,5949,22.75757598876953,,
11,5999,21.908843994140625,,
11,6049,25.97666358947754,,
11,6099,22.146432876586914,,
11,6149,23.68906021118164,,
11,6199,23.03321075439453,,
11,6249,20.011198043823242,,
11,6299,21.297103881835938,,
11,6323,,22.48781967163086,22.48781967163086
12,6349,21.16680908203125,,
12,6399,22.279788970947266,,
12,6449,22.224864959716797,,
12,6499,24.052108764648438,,
12,6549,21.152976989746094,,
12,6599,18.022619247436523,,
12,6649,18.788427352905273,,
12,6699,21.31386375427246,,
12,6749,22.78610610961914,,
12,6799,21.494211196899414,,
12,6849,19.558040618896484,,
12,6850,,22.637897491455078,22.637897491455078
13,6899,22.254348754882812,,
13,6949,22.698062896728516,,
13,6999,20.737211227416992,,
13,7049,22.68219757080078,,
13,7099,25.625534057617188,,
13,7149,20.46373748779297,,
13,7199,21.686092376708984,,
13,7249,24.39923095703125,,
13,7299,24.016597747802734,,
13,7349,21.917156219482422,,
13,7377,,23.053237915039062,23.053237915039062
14,7399,18.048978805541992,,
14,7449,22.669158935546875,,
14,7499,18.965755462646484,,
14,7549,19.610218048095703,,
14,7599,21.96934700012207,,
14,7649,21.386669158935547,,
14,7699,19.36724090576172,,
14,7749,20.734439849853516,,
14,7799,21.7318172454834,,
14,7849,18.547765731811523,,
